Id,gridcode,Shape_Leng,Shape_Area
"1","2",115.07909995500,823.56519173400
"1","2",1894.76028803000,82358.48001240000
"1","2",115.07832552600,823.55643599800
"1","2",176.68760899900,1647.20273766000
"1","2",859.05046689500,32120.82702640000
"1","2",115.08266730600,823.62057636500
"1","2",283.64274870200,3294.49761867000
"1","2",115.08019549600,823.58519639300
"1","2",115.08426013700,823.64503797000
"1","2",115.08446891400,823.64852495600
"1","2",115.08443258300,823.64800487500
"1","2",115.08191700900,823.61166543600
"1","2",583.55253025100,11531.18335910000
"1","2",168.63163228800,1648.58404966000
"1","2",115.12901002900,824.29384650100
"1","2",115.12913657600,824.29582467400
"1","2",230.26195767100,2472.97106855000
"1","2",114.99491446000,822.35652812400
"1","2",115.12823703800,824.28460428300
"1","2",114.99506013600,822.35877794100
"1","2",168.63877574400,1648.69458711000
